Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52
20,file:/C:/mallet/sample-data/abstract/A%20Business%20Centric%20Monitoring%20Approach%20for%20Heterogeneous%20Service%20Composites..txt,0.000645161,0.000645161,0.000645161,0.000645161,0.000645161,0.000645161,0.000645161,0.000645161,0.013548387,0.000645161,0.000645161,0.000645161,0.058709677,0.000645161,0.000645161,0.000645161,0.232903226,0.000645161,0.000645161,0.032903226,0.000645161,0.000645161,0.000645161,0.000645161,0.000645161,0.000645161,0.000645161,0.026451613,0.000645161,0.000645161,0.000645161,0.110322581,0.007096774,0.000645161,0.000645161,0.000645161,0.000645161,0.000645161,0.000645161,0.000645161,0.007096774,0.007096774,0.000645161,0.342580645,0.136129032,0.000645161,0.000645161,0.000645161,0.000645161,0.000645161
21,file:/C:/mallet/sample-data/abstract/A%20Business%20Intelligence%20Approach%20to%20Support%20Decision%20Making%20in%20Service%20Evolution%20Management..txt,0.001098901,0.001098901,0.012087912,0.001098901,0.023076923,0.001098901,0.045054945,0.001098901,0.012087912,0.001098901,0.001098901,0.001098901,0.001098901,0.001098901,0.078021978,0.067032967,0.001098901,0.001098901,0.067032967,0.001098901,0.001098901,0.001098901,0.001098901,0.001098901,0.001098901,0.001098901,0.012087912,0.012087912,0.001098901,0.001098901,0.220879121,0.001098901,0.045054945,0.001098901,0.034065934,0.001098901,0.001098901,0.001098901,0.001098901,0.121978022,0.001098901,0.012087912,0.001098901,0.187912088,0.001098901,0.001098901,0.001098901,0.012087912,0.001098901,0.001098901
22,file:/C:/mallet/sample-data/abstract/A%20Case%20for%20Memory%20Frequency%20Sensitivity..txt,0.002173913,0.002173913,0.002173913,0.002173913,0.002173913,0.002173913,0.002173913,0.002173913,0.002173913,0.002173913,0.002173913,0.002173913,0.002173913,0.002173913,0.067391304,0.045652174,0.002173913,0.002173913,0.002173913,0.002173913,0.002173913,0.002173913,0.002173913,0.089130435,0.32826087,0.002173913,0.002173913,0.002173913,0.002173913,0.002173913,0.002173913,0.002173913,0.002173913,0.002173913,0.002173913,0.023913043,0.002173913,0.002173913,0.002173913,0.35,0.002173913,0.002173913,0.002173913,0.002173913,0.002173913,0.002173913,0.002173913,0.002173913,0.002173913,0.002173913
23,file:/C:/mallet/sample-data/abstract/A%20Case%20Study%20on%20Bi-lateral%20Resource%20Integration%20Oriented%20Marine%20Logistics%20Service%20System..txt,0.027927928,0.036936937,0.000900901,0.000900901,0.000900901,0.027927928,0.000900901,0.000900901,0.000900901,0.000900901,0.000900901,0.000900901,0.000900901,0.000900901,0.000900901,0.045945946,0.000900901,0.018918919,0.000900901,0.000900901,0.000900901,0.000900901,0.000900901,0.000900901,0.018918919,0.000900901,0.1,0.000900901,0.000900901,0.00990991,0.000900901,0.000900901,0.000900901,0.027927928,0.000900901,0.000900901,0.000900901,0.000900901,0.018918919,0.036936937,0.289189189,0.000900901,0.00990991,0.226126126,0.00990991,0.000900901,0.00990991,0.000900901,0.000900901,0.054954955
24,file:/C:/mallet/sample-data/abstract/A%20CCRA%20Based%20Mass%20Customization%20Development%20for%20Cloud%20Services..txt,0.001149425,0.001149425,0.035632184,0.001149425,0.001149425,0.21954023,0.001149425,0.001149425,0.21954023,0.001149425,0.001149425,0.001149425,0.012643678,0.001149425,0.001149425,0.001149425,0.001149425,0.012643678,0.001149425,0.150574713,0.001149425,0.001149425,0.001149425,0.001149425,0.001149425,0.012643678,0.001149425,0.001149425,0.001149425,0.05862069,0.024137931,0.001149425,0.05862069,0.001149425,0.001149425,0.001149425,0.001149425,0.001149425,0.001149425,0.001149425,0.012643678,0.001149425,0.001149425,0.035632184,0.001149425,0.001149425,0.024137931,0.001149425,0.012643678,0.070114943
25,file:/C:/mallet/sample-data/abstract/A%20Certification%20Technique%20for%20Cloud%20Security%20Adaptation..txt,0.001136364,0.092045455,0.001136364,0.001136364,0.001136364,0.1375,0.001136364,0.0125,0.001136364,0.057954545,0.057954545,0.001136364,0.001136364,0.001136364,0.001136364,0.001136364,0.0125,0.001136364,0.251136364,0.057954545,0.035227273,0.001136364,0.092045455,0.001136364,0.001136364,0.001136364,0.001136364,0.001136364,0.001136364,0.001136364,0.001136364,0.001136364,0.001136364,0.001136364,0.001136364,0.001136364,0.001136364,0.001136364,0.001136364,0.001136364,0.001136364,0.0125,0.1375,0.001136364,0.001136364,0.001136364,0.001136364,0.001136364,0.001136364,0.001136364
26,file:/C:/mallet/sample-data/abstract/A%20Change%20Impact%20Analysis%20Approach%20for%20Workflow%20Repository%20Management..txt,0.001282051,0.001282051,0.001282051,0.014102564,0.001282051,0.001282051,0.014102564,0.001282051,0.001282051,0.001282051,0.001282051,0.001282051,0.078205128,0.001282051,0.001282051,0.001282051,0.001282051,0.001282051,0.167948718,0.001282051,0.001282051,0.001282051,0.001282051,0.001282051,0.001282051,0.001282051,0.001282051,0.001282051,0.180769231,0.001282051,0.001282051,0.026923077,0.001282051,0.001282051,0.001282051,0.001282051,0.001282051,0.091025641,0.001282051,0.296153846,0.026923077,0.026923077,0.001282051,0.001282051,0.001282051,0.001282051,0.001282051,0.026923077,0.001282051,0.001282051
27,file:/C:/mallet/sample-data/abstract/A%20Change%20Tracking%20Framework%20for%20Financial%20Documents..txt,0.000854701,0.043589744,0.000854701,0.000854701,0.24017094,0.000854701,0.000854701,0.035042735,0.000854701,0.009401709,0.103418803,0.000854701,0.000854701,0.000854701,0.000854701,0.000854701,0.000854701,0.000854701,0.077777778,0.000854701,0.000854701,0.000854701,0.000854701,0.000854701,0.000854701,0.069230769,0.026495726,0.000854701,0.094871795,0.000854701,0.120512821,0.000854701,0.000854701,0.000854701,0.009401709,0.017948718,0.000854701,0.000854701,0.000854701,0.000854701,0.035042735,0.000854701,0.000854701,0.077777778,0.000854701,0.000854701,0.000854701,0.009401709,0.000854701,0.000854701
28,file:/C:/mallet/sample-data/abstract/A%20Chemistry-Inspired%20Workflow%20Management%20System%20for%20Decentralizing%20Workflow%20Execution..txt,0.000746269,0.000746269,0.000746269,0.008208955,0.008208955,0.082835821,0.015671642,0.000746269,0.000746269,0.000746269,0.008208955,0.000746269,0.000746269,0.008208955,0.000746269,0.000746269,0.000746269,0.12761194,0.067910448,0.097761194,0.000746269,0.060447761,0.000746269,0.023134328,0.000746269,0.000746269,0.112686567,0.000746269,0.000746269,0.000746269,0.000746269,0.105223881,0.000746269,0.000746269,0.045522388,0.000746269,0.000746269,0.105223881,0.000746269,0.000746269,0.008208955,0.023134328,0.000746269,0.000746269,0.000746269,0.015671642,0.052985075,0.000746269,0.000746269,0.000746269
29,file:/C:/mallet/sample-data/abstract/A%20Classification%20of%20Trust%20Computation%20Models%20for%20Service-Oriented%20Internet%20of%20Things%20Systems..txt,0.175728155,0.000970874,0.000970874,0.15631068,0.000970874,0.039805825,0.000970874,0.000970874,0.000970874,0.010679612,0.000970874,0.000970874,0.000970874,0.030097087,0.000970874,0.030097087,0.000970874,0.030097087,0.000970874,0.000970874,0.000970874,0.000970874,0.000970874,0.000970874,0.000970874,0.000970874,0.204854369,0.02038835,0.000970874,0.000970874,0.000970874,0.000970874,0.02038835,0.000970874,0.010679612,0.000970874,0.000970874,0.000970874,0.000970874,0.098058252,0.000970874,0.000970874,0.000970874,0.000970874,0.000970874,0.10776699,0.030097087,0.000970874,0.000970874,0.000970874
30,file:/C:/mallet/sample-data/abstract/A%20Classroom%20Scheduling%20Service%20for%20Smart%20Classes..txt,0.001111111,0.001111111,0.001111111,0.001111111,0.001111111,0.001111111,0.012222222,0.001111111,0.001111111,0.001111111,0.001111111,0.001111111,0.023333333,0.001111111,0.001111111,0.001111111,0.001111111,0.001111111,0.034444444,0.012222222,0.001111111,0.001111111,0.001111111,0.178888889,0.112222222,0.001111111,0.001111111,0.023333333,0.001111111,0.001111111,0.001111111,0.001111111,0.001111111,0.001111111,0.012222222,0.001111111,0.134444444,0.001111111,0.001111111,0.001111111,0.001111111,0.001111111,0.001111111,0.001111111,0.001111111,0.001111111,0.412222222,0.001111111,0.001111111,0.001111111
31,file:/C:/mallet/sample-data/abstract/A%20Client%20MicroServices%20Automatic%20Collaboration%20Framework%20Based%20on%20Fine-Grained%20APP..txt,0.000826446,0.000826446,0.017355372,0.000826446,0.000826446,0.000826446,0.000826446,0.000826446,0.025619835,0.04214876,0.025619835,0.04214876,0.240495868,0.174380165,0.000826446,0.000826446,0.000826446,0.000826446,0.000826446,0.000826446,0.000826446,0.000826446,0.000826446,0.000826446,0.000826446,0.091735537,0.000826446,0.017355372,0.025619835,0.009090909,0.017355372,0.000826446,0.009090909,0.000826446,0.108264463,0.000826446,0.033884298,0.000826446,0.000826446,0.025619835,0.000826446,0.000826446,0.000826446,0.000826446,0.000826446,0.000826446,0.000826446,0.000826446,0.000826446,0.066942149
32,file:/C:/mallet/sample-data/abstract/A%20Client-Side%20Framework%20Enabling%20Callbacks%20from%20Web%20Services..txt,0.001538462,0.001538462,0.186153846,0.001538462,0.001538462,0.016923077,0.001538462,0.001538462,0.001538462,0.001538462,0.001538462,0.078461538,0.155384615,0.032307692,0.001538462,0.001538462,0.001538462,0.001538462,0.001538462,0.001538462,0.016923077,0.078461538,0.001538462,0.001538462,0.001538462,0.001538462,0.001538462,0.001538462,0.001538462,0.001538462,0.109230769,0.001538462,0.001538462,0.016923077,0.016923077,0.001538462,0.001538462,0.001538462,0.032307692,0.001538462,0.001538462,0.001538462,0.001538462,0.001538462,0.001538462,0.063076923,0.001538462,0.001538462,0.109230769,0.032307692
33,file:/C:/mallet/sample-data/abstract/A%20Cloud%20Brokerage%20Architecture%20for%20Efficient%20Cloud%20Service%20Selection..txt,0.000384615,0.042692308,0.008076923,0.000384615,0.000384615,0.077307692,0.011923077,0.000384615,0.000384615,0.000384615,0.000384615,0.000384615,0.000384615,0.000384615,0.000384615,0.000384615,0.000384615,0.000384615,0.000384615,0.000384615,0.000384615,0.000384615,0.000384615,0.027307692,0.000384615,0.000384615,0.000384615,0.000384615,0.015769231,0.761923077,0.008076923,0.000384615,0.000384615,0.000384615,0.000384615,0.000384615,0.004230769,0.000384615,0.000384615,0.000384615,0.000384615,0.000384615,0.027307692,0.000384615,0.000384615,0.000384615,0.000384615,0.000384615,0.000384615,0.000384615
34,file:/C:/mallet/sample-data/abstract/A%20Cloud%20Oriented%20Account%20Service%20Mechanism%20for%20SME%20SaaS%20Ecosystem..txt,0.001204819,0.001204819,0.001204819,0.085542169,0.001204819,0.061445783,0.001204819,0.013253012,0.001204819,0.001204819,0.001204819,0.001204819,0.013253012,0.001204819,0.001204819,0.001204819,0.001204819,0.013253012,0.001204819,0.025301205,0.013253012,0.013253012,0.001204819,0.001204819,0.001204819,0.121686747,0.001204819,0.001204819,0.001204819,0.001204819,0.001204819,0.145783133,0.001204819,0.001204819,0.001204819,0.001204819,0.001204819,0.001204819,0.037349398,0.001204819,0.109638554,0.013253012,0.001204819,0.145783133,0.001204819,0.085542169,0.061445783,0.001204819,0.001204819,0.001204819
